timestamp,machine_id,operator_id,task_id,engine_hours,fuel_used_l,load_cycles,idling_time_min,seatbelt_status,proximity_alert,weather_condition,ground_condition,is_golden
2024-10-01 08:00:00,EXC001,OP1001,TSK001,1200.0,0.0,0,0,fastened,False,clear,dry,True
2024-10-01 08:10:00,EXC001,OP1001,TSK001,1200.2,1.5,2,0,fastened,False,clear,dry,True
2024-10-01 08:20:00,EXC001,OP1001,TSK001,1200.4,3.0,4,0,fastened,False,clear,dry,True
2024-10-01 08:30:00,EXC001,OP1001,TSK001,1200.6,4.5,6,0,fastened,False,clear,dry,True
2024-10-01 08:40:00,EXC001,OP1001,TSK001,1200.8,6.0,8,5,fastened,False,clear,dry,True
2024-10-01 08:50:00,EXC001,OP1001,TSK001,1201.0,7.5,10,15,fastened,False,clear,dry,True
2024-10-01 09:00:00,EXC001,OP1001,TSK001,1201.2,9.0,12,25,fastened,False,clear,dry,True
2024-10-01 09:10:00,EXC001,OP1001,TSK001,1201.4,10.5,14,0,fastened,False,clear,dry,True
2024-10-01 09:20:00,EXC001,OP1001,TSK001,1201.6,12.0,16,0,fastened,False,rain,wet,True
2024-10-01 09:30:00,EXC001,OP1001,TSK001,1201.8,13.5,18,0,fastened,False,rain,wet,True
2024-10-01 09:40:00,EXC001,OP1001,TSK001,1202.0,15.0,20,0,fastened,False,rain,wet,True
2024-10-01 09:50:00,EXC001,OP1001,TSK001,1202.2,16.5,22,0,unfastened,False,rain,wet,True
2024-10-01 10:00:00,EXC001,OP1001,TSK001,1202.4,18.0,24,0,fastened,False,rain,wet,True
2024-10-01 10:10:00,EXC001,OP1001,TSK001,1202.6,19.5,26,0,fastened,False,rain,wet,True
2024-10-01 10:20:00,EXC001,OP1001,TSK001,1202.8,21.0,28,0,fastened,False,rain,wet,True
2024-10-01 10:30:00,EXC001,OP1001,TSK001,1203.0,22.5,30,0,fastened,False,rain,wet,True
2024-10-01 10:40:00,EXC001,OP1001,TSK001,1203.2,24.0,32,0,fastened,False,rain,wet,True
2024-10-01 10:50:00,EXC001,OP1001,TSK001,1203.4,25.5,34,0,fastened,False,rain,wet,True
2024-09-03 08:00:00,EXC001,OP1001,TSK387,1179.2331873929022,62.15513453899015,90,0,unfastened,False,rain,wet,False
2024-09-11 08:00:00,EXC001,OP1001,TSK377,1172.6152304389316,66.26248583480941,18,0,unfastened,True,rain,dry,False
2024-09-10 08:00:00,EXC001,OP1002,TSK897,1093.4397738259422,31.74489904172489,19,45,fastened,False,rain,wet,False
2024-09-17 08:00:00,EXC001,OP1002,TSK232,1191.6490843430013,46.75168302485039,15,45,fastened,False,clear,dry,False
2024-09-03 08:00:00,EXC001,OP1002,TSK885,1035.8471776564345,27.912029272325352,89,5,fastened,True,rain,wet,False
2024-09-11 08:00:00,EXC001,OP1001,TSK756,1019.4029606574716,91.24736185151728,12,10,unfastened,True,rain,wet,False
2024-09-23 08:00:00,EXC001,OP1001,TSK440,1074.6693423022796,31.76595907435094,23,0,unfastened,False,rain,muddy,False
2024-09-22 08:00:00,EXC001,OP1002,TSK475,1100.4059492216554,41.34198004380974,64,0,fastened,True,rain,wet,False
2024-09-03 08:00:00,EXC001,OP1002,TSK689,1056.6717294349562,14.402073912247893,31,10,fastened,True,clear,dry,False
2024-09-20 08:00:00,EXC001,OP1002,TSK496,1035.517172174653,85.38967487498056,91,5,unfastened,True,fog,muddy,False
2024-09-03 08:00:00,EXC001,OP1002,TSK990,1163.238009150005,82.88261151354256,33,30,unfastened,True,clear,wet,False
2024-09-21 08:00:00,EXC001,OP1002,TSK783,1007.9580658845059,21.75011519539546,13,5,fastened,False,fog,dry,False
2024-09-18 08:00:00,EXC001,OP1001,TSK136,1132.3183463702167,41.3051365846482,16,30,fastened,True,fog,muddy,False
2024-09-09 08:00:00,EXC001,OP1001,TSK305,1162.4798352181408,62.16040897433162,29,10,fastened,True,clear,dry,False
2024-09-11 08:00:00,EXC001,OP1001,TSK410,1095.0215228867746,77.8412009241003,64,30,unfastened,True,clear,dry,False
2024-09-06 08:00:00,EXC001,OP1002,TSK772,1022.4847797209167,69.74527496238042,93,30,unfastened,True,fog,wet,False
2024-09-11 08:00:00,EXC001,OP1001,TSK589,1174.174488518965,70.2359705625935,65,5,unfastened,False,fog,muddy,False
2024-09-09 08:00:00,EXC001,OP1001,TSK924,1032.2416969394487,89.92507203579115,62,30,unfastened,False,fog,muddy,False
2024-09-22 08:00:00,EXC001,OP1002,TSK264,1143.0969055910316,44.79439827790588,98,10,unfastened,True,fog,wet,False
2024-09-26 08:00:00,EXC001,OP1002,TSK116,1125.9106471660236,90.50218436099911,69,5,unfastened,False,fog,muddy,False
2024-09-01 08:00:00,EXC001,OP1001,TSK380,1033.5458863269696,71.47594098886363,64,30,unfastened,False,fog,muddy,False
2024-09-24 08:00:00,EXC001,OP1002,TSK830,1015.7978658736945,61.062128998364514,82,10,unfastened,True,fog,dry,False
2024-09-22 08:00:00,EXC001,OP1001,TSK828,1106.628313424404,56.232097325266864,34,0,fastened,True,fog,wet,False
2024-09-23 08:00:00,EXC001,OP1001,TSK580,1030.7844463611598,91.22045820456941,30,5,unfastened,True,clear,muddy,False
2024-09-24 08:00:00,EXC001,OP1001,TSK433,1058.2349510543918,79.5980582169672,49,45,unfastened,False,clear,dry,False
2024-09-19 08:00:00,EXC001,OP1001,TSK608,1166.3592633034739,27.790012759125094,86,45,fastened,False,rain,muddy,False
2024-09-21 08:00:00,EXC001,OP1001,TSK978,1072.3160868176235,85.60069832027489,48,0,unfastened,True,fog,dry,False
2024-09-28 08:00:00,EXC001,OP1002,TSK494,1140.7140046983789,48.10107298368499,86,10,fastened,True,fog,wet,False
2024-09-27 08:00:00,EXC001,OP1002,TSK110,1079.2362911008488,27.979948067757917,76,5,unfastened,False,fog,muddy,False
2024-09-30 08:00:00,EXC001,OP1002,TSK892,1048.8731174495952,67.72751174245344,27,10,unfastened,False,rain,wet,False
2024-09-27 08:00:00,EXC001,OP1002,TSK287,1010.0152143119938,92.0972486011096,51,10,unfastened,False,clear,dry,False
2024-09-30 08:00:00,EXC001,OP1002,TSK557,1194.5294810581106,62.94762288143037,90,45,fastened,False,rain,muddy,False
2024-09-25 08:00:00,EXC001,OP1002,TSK699,1015.2957182086344,88.42701001352484,73,0,fastened,False,rain,dry,False
2024-09-01 08:00:00,EXC001,OP1002,TSK831,1006.3017463179996,69.88804508943674,98,30,fastened,True,fog,dry,False
